kind,pref,name,area,lat,lon,mlat,mlon
fishing,青森県,深久保漁港,八戸市南浜,40.51704,141.60633,40.51704,141.60633
fishing,青森県,清水川漁港,平内町,40.92406,141.02474,40.92406,141.02474
fishing,青森県,源氏ヶ浦漁港,横浜町,41.11432,141.25305,41.11432,141.25305
fishing,青森県,瀬辺地漁港,蓬田村,41.00793,140.65116,41.00793,140.65116
fishing,青森県,牛滝漁港,佐井村,41.2929,140.79947,41.2929,140.79947
fishing,青森県,狩場沢漁港,平内町,40.89799,141.07827,40.89799,141.07827
fishing,青森県,田野沢(大戸瀬)漁港,大戸瀬,40.76377,140.04262,40.76377,140.04262
fishing,青森県,田野沢漁港,川内町,41.19098,141.01957,41.19098,141.01957
fishing,青森県,白浜漁港,八戸市南浜,40.5194,141.59472,40.5194,141.59472
fishing,青森県,白砂漁港,平内町,40.9846,140.95169,40.9846,140.95169
fishing,青森県,百目木漁港,横浜町,41.03745,141.23934,41.03745,141.23934
fishing,青森県,百石漁港,百石町,40.60531,141.46391,40.60531,141.46391
fishing,青森県,矢越漁港,佐井村,41.41983,140.84168,41.41983,140.84168
fishing,青森県,石持漁港,石持,41.35124,141.29386,41.35124,141.29386
fishing,青森県,磯谷漁港,佐井村,41.39855,140.83014,41.39855,140.83014
fishing,青森県,福浦漁港,佐井村,41.32806,140.80588,41.32806,140.80588
fishing,青森県,種差漁港,八戸市南浜,40.50442,141.62114,40.50442,141.62114
fishing,青森県,稲生漁港,平内町,40.98039,140.87167,40.98039,140.87167
fishing,青森県,脇元漁港,脇元,41.09262,140.31713,41.09262,140.31713
fishing,青森県,脇野沢漁港,脇野沢,41.14375,140.82447,41.14375,140.82447
fishing,青森県,艫作漁港,艫作 深浦,40.60878,139.86264,40.60878,139.86264
fishing,青森県,茂浦漁港,平内町,40.94428,140.87018,40.94428,140.87018
fishing,青森県,蓬田漁港,蓬田村,40.985,140.65632,40.985,140.65632
fishing,青森県,蛇浦漁港,蛇浦,41.50758,140.96766,41.50758,140.96766
fishing,青森県,蛎崎漁港,川内町,41.16552,140.89785,41.16552,140.89785
fishing,青森県,蟹田漁港,外ヶ浜,41.04764,140.64672,41.04764,140.64672
fishing,青森県,角違漁港,むつ市,41.20922,141.09406,41.20922,141.09406
fishing,青森県,車力漁港,車力,40.97969,140.31363,40.97969,140.31363
fishing,青森県,追越漁港,階上,40.46719,141.65638,40.46719,141.65638
fishing,青森県,野牛漁港,野牛,41.35846,141.33858,41.35846,141.33858
fishing,青森県,野辺地漁港,野辺地町,40.87351,141.12585,40.87351,141.12585
fishing,青森県,金浜漁港,八戸市南浜,40.48085,141.6393,40.48085,141.6393
fishing,青森県,長後漁港,佐井村,41.37044,140.8263,41.37044,140.8263
fishing,青森県,関根漁港,関根浜,41.3704,141.22498,41.3704,141.22498
